C000  4C F5 C5  JMP $C5F5                       A:00 X:00 Y:00 P:24 SP:FD CYC:  0
C5F5  A2 00     LDX #$00                        A:00 X:00 Y:00 P:24 SP:FD CYC:  9
C5F7  86 00     STX $00 = 00                    A:00 X:00 Y:00 P:26 SP:FD CYC: 15
F69D  A0 0C     LDY #$0C                        A:11 X:02 Y:FF P:25 SP:F9 CYC:199
F69F  68        PLA                             A:11 X:02 Y:0C P:25 SP:F9 CYC:205
F6A0  28        PLP                             A:11 X:02 Y:0C P:25 SP:FA CYC:217
F6A1  20 10     JSR $FB10                       A:11 X:02 Y:0C P:25 SP:FB CYC:229
FB10  70 09     BVS                             A:11 X:02 Y:0C P:25 SP:F9 CYC:247
FB12  30 07     BMI                             A:11 X:02 Y:0C P:25 SP:F9 CYC:253
FB14  90 05     BCC                             A:11 X:02 Y:0C P:25 SP:F9 CYC:259
FB16  C9 11     CMP #$11                        A:11 X:02 Y:0C P:25 SP:F9 CYC:265
FB18  D0 01     BNE                             A:11 X:02 Y:0C P:27 SP:F9 CYC:271
FB1A  60 85     RTS                             A:11 X:02 Y:0C P:27 SP:F9 CYC:277
F6A4  AD 47 06  LDA $0647                       A:11 X:02 Y:0C P:27 SP:FB CYC:295
F6A7  C9 9B     CMP #$9B                        A:9B X:02 Y:0C P:A5 SP:FB CYC:307
F6A9  F0 02     BEQ                             A:9B X:02 Y:0C P:27 SP:FB CYC:313
F6AD  A0 0D     LDY #$0D                        A:9B X:02 Y:0C P:27 SP:FB CYC:322
F6AF  A2 FF     LDX #$FF                        A:9B X:02 Y:0D P:25 SP:FB CYC:328
F6B1  A9 A5     LDA #$A5                        A:9B X:FF Y:0D P:A5 SP:FB CYC:334
F6B3  85 47     STA $47 = 9B                    A:A5 X:FF Y:0D P:A5 SP:FB CYC:340
F6B5  20 E9     JSR $FAE9                       A:A5 X:FF Y:0D P:A5 SP:FB CYC:  8
FAE9  24 01     BIT $01 = FF                    A:A5 X:FF Y:0D P:A5 SP:F9 CYC: 26
FAEB  18        CLC                             A:A5 X:FF Y:0D P:E5 SP:F9 CYC: 35
FAEC  A9 B2     LDA #$B2                        A:A5 X:FF Y:0D P:E4 SP:F9 CYC: 41
FAEE  60 70     RTS                             A:B2 X:FF Y:0D P:E4 SP:F9 CYC: 47
F6B8  77 48    *RRA $48,X                       A:B2 X:FF Y:0D P:E4 SP:FB CYC: 65
F6BA  EA        NOP                             A:05 X:FF Y:0D P:25 SP:FB CYC: 83
F6BB  EA        NOP                             A:05 X:FF Y:0D P:25 SP:FB CYC: 89
F6BC  EA        NOP                             A:05 X:FF Y:0D P:25 SP:FB CYC: 95
F6BD  EA        NOP                             A:05 X:FF Y:0D P:25 SP:FB CYC:101
F6BE  20 EF     JSR $FAEF                       A:05 X:FF Y:0D P:25 SP:FB CYC:107
FAEF  70 2A     BVS                             A:05 X:FF Y:0D P:25 SP:F9 CYC:125
FAF1  90 28     BCC                             A:05 X:FF Y:0D P:25 SP:F9 CYC:131
FAF3  30 26     BMI                             A:05 X:FF Y:0D P:25 SP:F9 CYC:137
FAF5  C9 05     CMP #$05                        A:05 X:FF Y:0D P:25 SP:F9 CYC:143
FAF7  D0 22     BNE                             A:05 X:FF Y:0D P:27 SP:F9 CYC:149
FAF9  60 B8     RTS                             A:05 X:FF Y:0D P:27 SP:F9 CYC:155
F6C1  A5 47     LDA $47                         A:05 X:FF Y:0D P:27 SP:FB CYC:173
F6C3  C9 52     CMP #$52                        A:52 X:FF Y:0D P:25 SP:FB CYC:182
F6C5  F0 02     BEQ                             A:52 X:FF Y:0D P:27 SP:FB CYC:188
F6C9  C8        INY                             A:52 X:FF Y:0D P:27 SP:FB CYC:197
F6CA  A9 29     LDA #$29                        A:52 X:FF Y:0E P:25 SP:FB CYC:203
F6CC  85 47     STA $47 = 52                    A:29 X:FF Y:0E P:25 SP:FB CYC:209
F6CE  20 FA     JSR $FAFA                       A:29 X:FF Y:0E P:25 SP:FB CYC:218
FAFA  B8        CLV                             A:29 X:FF Y:0E P:25 SP:F9 CYC:236
FAFB  18        CLC                             A:29 X:FF Y:0E P:25 SP:F9 CYC:242
FAFC  A9 42     LDA #$42                        A:29 X:FF Y:0E P:24 SP:F9 CYC:248
FAFE  60 70     RTS                             A:42 X:FF Y:0E P:24 SP:F9 CYC:254
F6D1  77 48    *RRA $48,X                       A:42 X:FF Y:0E P:24 SP:FB CYC:272
F6D3  EA        NOP                             A:57 X:FF Y:0E P:24 SP:FB CYC:290
F6D4  EA        NOP                             A:57 X:FF Y:0E P:24 SP:FB CYC:296
F6D5  EA        NOP                             A:57 X:FF Y:0E P:24 SP:FB CYC:302
F6D6  EA        NOP                             A:57 X:FF Y:0E P:24 SP:FB CYC:308
F6D7  20 FF     JSR $FAFF                       A:57 X:FF Y:0E P:24 SP:FB CYC:314
FAFF  70 1A     BVS                             A:57 X:FF Y:0E P:24 SP:F9 CYC:332
FB01  30 18     BMI                             A:57 X:FF Y:0E P:24 SP:F9 CYC:338
FB03  B0 16     BCS                             A:57 X:FF Y:0E P:24 SP:F9 CYC:  3
FB05  C9 57     CMP #$57                        A:57 X:FF Y:0E P:24 SP:F9 CYC:  9
FB07  D0 12     BNE                             A:57 X:FF Y:0E P:27 SP:F9 CYC: 15
FB09  60 24     RTS                             A:57 X:FF Y:0E P:27 SP:F9 CYC: 21
F6DA  A5 47     LDA $47                         A:57 X:FF Y:0E P:27 SP:FB CYC: 39
F6DC  C9 14     CMP #$14                        A:14 X:FF Y:0E P:25 SP:FB CYC: 48
F6DE  F0 02     BEQ                             A:14 X:FF Y:0E P:27 SP:FB CYC: 54
F6E2  C8        INY                             A:14 X:FF Y:0E P:27 SP:FB CYC: 63
F6E3  A9 37     LDA #$37                        A:14 X:FF Y:0F P:25 SP:FB CYC: 69
F6E5  85 47     STA $47 = 14                    A:37 X:FF Y:0F P:25 SP:FB CYC: 75
F6E7  20 0A     JSR $FB0A                       A:37 X:FF Y:0F P:25 SP:FB CYC: 84
FB0A  24 01     BIT $01 = FF                    A:37 X:FF Y:0F P:25 SP:F9 CYC:102
FB0C  38        SEC                             A:37 X:FF Y:0F P:E5 SP:F9 CYC:111
FB0D  A9 75     LDA #$75                        A:37 X:FF Y:0F P:E5 SP:F9 CYC:117
FB0F  60 70     RTS                             A:75 X:FF Y:0F P:65 SP:F9 CYC:123
F6EA  77 48    *RRA $48,X                       A:75 X:FF Y:0F P:65 SP:FB CYC:141
F6EC  EA        NOP                             A:11 X:FF Y:0F P:25 SP:FB CYC:159
F6ED  EA        NOP                             A:11 X:FF Y:0F P:25 SP:FB CYC:165
F6EE  EA        NOP                             A:11 X:FF Y:0F P:25 SP:FB CYC:171
F6EF  EA        NOP                             A:11 X:FF Y:0F P:25 SP:FB CYC:177
F6F0  20 10     JSR $FB10                       A:11 X:FF Y:0F P:25 SP:FB CYC:183
FB10  70 09     BVS                             A:11 X:FF Y:0F P:25 SP:F9 CYC:201
FB12  30 07     BMI                             A:11 X:FF Y:0F P:25 SP:F9 CYC:207
FB14  90 05     BCC                             A:11 X:FF Y:0F P:25 SP:F9 CYC:213
FB16  C9 11     CMP #$11                        A:11 X:FF Y:0F P:25 SP:F9 CYC:219
FB18  D0 01     BNE                             A:11 X:FF Y:0F P:27 SP:F9 CYC:225
FB1A  60 85     RTS                             A:11 X:FF Y:0F P:27 SP:F9 CYC:231
F6F3  A5 47     LDA $47                         A:11 X:FF Y:0F P:27 SP:FB CYC:249
F6F5  C9 9B     CMP #$9B                        A:9B X:FF Y:0F P:A5 SP:FB CYC:258
F6F7  F0 02     BEQ                             A:9B X:FF Y:0F P:27 SP:FB CYC:264
F6FB  A9 A5     LDA #$A5                        A:9B X:FF Y:0F P:27 SP:FB CYC:273
F6FD  8D 47 06  STA $0647 = 9B                  A:A5 X:FF Y:0F P:A5 SP:FB CYC:279
F700  A0 FF     LDY #$FF                        A:A5 X:FF Y:0F P:A5 SP:FB CYC:291
F702  20 E9     JSR $FAE9                       A:A5 X:FF Y:FF P:A5 SP:FB CYC:297
FAE9  24 01     BIT $01 = FF                    A:A5 X:FF Y:FF P:A5 SP:F9 CYC:315
FAEB  18        CLC                             A:A5 X:FF Y:FF P:E5 SP:F9 CYC:324
FAEC  A9 B2     LDA #$B2                        A:A5 X:FF Y:FF P:E4 SP:F9 CYC:330
FAEE  60 70     RTS                             A:B2 X:FF Y:FF P:E4 SP:F9 CYC:336
F705  7B 48 05 *RRA $0548,Y                     A:B2 X:FF Y:FF P:E4 SP:FB CYC: 13
F708  EA        NOP                             A:05 X:FF Y:FF P:25 SP:FB CYC: 19
F709  EA        NOP                             A:05 X:FF Y:FF P:25 SP:FB CYC: 25
F70A  08        PHP                             A:05 X:FF Y:FF P:25 SP:FB CYC: 31
F70B  48        PHA                             A:05 X:FF Y:FF P:25 SP:FA CYC: 40
F70C  A0 10     LDY #$10                        A:05 X:FF Y:FF P:25 SP:F9 CYC: 49
F70E  68        PLA                             A:05 X:FF Y:10 P:25 SP:F9 CYC: 55
F70F  28        PLP                             A:05 X:FF Y:10 P:25 SP:FA CYC: 67
F710  20 EF     JSR $FAEF                       A:05 X:FF Y:10 P:25 SP:FB CYC: 79
FAEF  70 2A     BVS                             A:05 X:FF Y:10 P:25 SP:F9 CYC: 97
FAF1  90 28     BCC                             A:05 X:FF Y:10 P:25 SP:F9 CYC:103
FAF3  30 26     BMI                             A:05 X:FF Y:10 P:25 SP:F9 CYC:109
FAF5  C9 05     CMP #$05                        A:05 X:FF Y:10 P:25 SP:F9 CYC:115
FAF7  D0 22     BNE                             A:05 X:FF Y:10 P:27 SP:F9 CYC:121
FAF9  60 B8     RTS                             A:05 X:FF Y:10 P:27 SP:F9 CYC:127
F713  AD 47 06  LDA $0647                       A:05 X:FF Y:10 P:27 SP:FB CYC:145
F716  C9 52     CMP #$52                        A:52 X:FF Y:10 P:25 SP:FB CYC:157
F718  F0 02     BEQ                             A:52 X:FF Y:10 P:27 SP:FB CYC:163
F71C  A0 FF     LDY #$FF                        A:52 X:FF Y:10 P:27 SP:FB CYC:172
F71E  A9 29     LDA #$29                        A:52 X:FF Y:FF P:A5 SP:FB CYC:178
F720  8D 47 06  STA $0647 = 52                  A:29 X:FF Y:FF P:25 SP:FB CYC:184
F723  20 FA     JSR $FAFA                       A:29 X:FF Y:FF P:25 SP:FB CYC:196
FAFA  B8        CLV                             A:29 X:FF Y:FF P:25 SP:F9 CYC:214
FAFB  18        CLC                             A:29 X:FF Y:FF P:25 SP:F9 CYC:220
FAFC  A9 42     LDA #$42                        A:29 X:FF Y:FF P:24 SP:F9 CYC:226
FAFE  60 70     RTS                             A:42 X:FF Y:FF P:24 SP:F9 CYC:232
F726  7B 48 05 *RRA $0548,Y                     A:42 X:FF Y:FF P:24 SP:FB CYC:250
F729  EA        NOP                             A:57 X:FF Y:FF P:24 SP:FB CYC:256
F72A  EA        NOP                             A:57 X:FF Y:FF P:24 SP:FB CYC:262
F72B  08        PHP                             A:57 X:FF Y:FF P:24 SP:FB CYC:268
F72C  48        PHA                             A:57 X:FF Y:FF P:24 SP:FA CYC:277
F72D  A0 11     LDY #$11                        A:57 X:FF Y:FF P:24 SP:F9 CYC:286
F72F  68        PLA                             A:57 X:FF Y:11 P:24 SP:F9 CYC:292
F730  28        PLP                             A:57 X:FF Y:11 P:24 SP:FA CYC:304
F731  20 FF     JSR $FAFF                       A:57 X:FF Y:11 P:24 SP:FB CYC:316
FAFF  70 1A     BVS                             A:57 X:FF Y:11 P:24 SP:F9 CYC:334
FB01  30 18     BMI                             A:57 X:FF Y:11 P:24 SP:F9 CYC:340
FB03  B0 16     BCS                             A:57 X:FF Y:11 P:24 SP:F9 CYC:  5
FB05  C9 57     CMP #$57                        A:57 X:FF Y:11 P:24 SP:F9 CYC: 11
FB07  D0 12     BNE                             A:57 X:FF Y:11 P:27 SP:F9 CYC: 17
FB09  60 24     RTS                             A:57 X:FF Y:11 P:27 SP:F9 CYC: 23
F734  AD 47 06  LDA $0647                       A:57 X:FF Y:11 P:27 SP:FB CYC: 41
F737  C9 14     CMP #$14                        A:14 X:FF Y:11 P:25 SP:FB CYC: 53
F739  F0 02     BEQ                             A:14 X:FF Y:11 P:27 SP:FB CYC: 59
F73D  A0 FF     LDY #$FF                        A:14 X:FF Y:11 P:27 SP:FB CYC: 68
F73F  A9 37     LDA #$37                        A:14 X:FF Y:FF P:A5 SP:FB CYC: 74
F741  8D 47 06  STA $0647 = 14                  A:37 X:FF Y:FF P:25 SP:FB CYC: 80
F744  20 0A     JSR $FB0A                       A:37 X:FF Y:FF P:25 SP:FB CYC: 92
FB0A  24 01     BIT $01 = FF                    A:37 X:FF Y:FF P:25 SP:F9 CYC:110
FB0C  38        SEC                             A:37 X:FF Y:FF P:E5 SP:F9 CYC:119
FB0D  A9 75     LDA #$75                        A:37 X:FF Y:FF P:E5 SP:F9 CYC:125
FB0F  60 70     RTS                             A:75 X:FF Y:FF P:65 SP:F9 CYC:131
F747  7B 48 05 *RRA $0548,Y                     A:75 X:FF Y:FF P:65 SP:FB CYC:149
F74A  EA        NOP                             A:11 X:FF Y:FF P:25 SP:FB CYC:155
F74B  EA        NOP                             A:11 X:FF Y:FF P:25 SP:FB CYC:161
F74C  08        PHP                             A:11 X:FF Y:FF P:25 SP:FB CYC:167
F74D  48        PHA                             A:11 X:FF Y:FF P:25 SP:FA CYC:176
F74E  A0 12     LDY #$12                        A:11 X:FF Y:FF P:25 SP:F9 CYC:185
F750  68        PLA                             A:11 X:FF Y:12 P:25 SP:F9 CYC:191
F751  28        PLP                             A:11 X:FF Y:12 P:25 SP:FA CYC:203
F752  20 10     JSR $FB10                       A:11 X:FF Y:12 P:25 SP:FB CYC:215
FB10  70 09     BVS                             A:11 X:FF Y:12 P:25 SP:F9 CYC:233
FB12  30 07     BMI                             A:11 X:FF Y:12 P:25 SP:F9 CYC:239
FB14  90 05     BCC                             A:11 X:FF Y:12 P:25 SP:F9 CYC:245
FB16  C9 11     CMP #$11                        A:11 X:FF Y:12 P:25 SP:F9 CYC:251
FB18  D0 01     BNE                             A:11 X:FF Y:12 P:27 SP:F9 CYC:257
FB1A  60 85     RTS                             A:11 X:FF Y:12 P:27 SP:F9 CYC:263
F755  AD 47 06  LDA $0647                       A:11 X:FF Y:12 P:27 SP:FB CYC:281
F758  C9 9B     CMP #$9B                        A:9B X:FF Y:12 P:A5 SP:FB CYC:293
F75A  F0 02     BEQ                             A:9B X:FF Y:12 P:27 SP:FB CYC:299
F75E  A0 13     LDY #$13                        A:9B X:FF Y:12 P:27 SP:FB CYC:308
F760  A2 FF     LDX #$FF                        A:9B X:FF Y:13 P:25 SP:FB CYC:314
F762  A9 A5     LDA #$A5                        A:9B X:FF Y:13 P:A5 SP:FB CYC:320
F764  8D 47 06  STA $0647 = 9B                  A:A5 X:FF Y:13 P:A5 SP:FB CYC:326
F767  20 E9     JSR $FAE9                       A:A5 X:FF Y:13 P:A5 SP:FB CYC:338
FAE9  24 01     BIT $01 = FF                    A:A5 X:FF Y:13 P:A5 SP:F9 CYC: 15
FAEB  18        CLC                             A:A5 X:FF Y:13 P:E5 SP:F9 CYC: 24
FAEC  A9 B2     LDA #$B2                        A:A5 X:FF Y:13 P:E4 SP:F9 CYC: 30
FAEE  60 70     RTS                             A:B2 X:FF Y:13 P:E4 SP:F9 CYC: 36
F76A  7F 48 05 *RRA $0548,X                     A:B2 X:FF Y:13 P:E4 SP:FB CYC: 54
F76D  EA        NOP                             A:05 X:FF Y:13 P:25 SP:FB CYC: 75
F76E  EA        NOP                             A:05 X:FF Y:13 P:25 SP:FB CYC: 81
F76F  EA        NOP                             A:05 X:FF Y:13 P:25 SP:FB CYC: 87
F770  EA        NOP                             A:05 X:FF Y:13 P:25 SP:FB CYC: 93
F771  20 EF     JSR $FAEF                       A:05 X:FF Y:13 P:25 SP:FB CYC: 99
FAEF  70 2A     BVS                             A:05 X:FF Y:13 P:25 SP:F9 CYC:117
FAF1  90 28     BCC                             A:05 X:FF Y:13 P:25 SP:F9 CYC:123
FAF3  30 26     BMI                             A:05 X:FF Y:13 P:25 SP:F9 CYC:129
FAF5  C9 05     CMP #$05                        A:05 X:FF Y:13 P:25 SP:F9 CYC:135
FAF7  D0 22     BNE                             A:05 X:FF Y:13 P:27 SP:F9 CYC:141
FAF9  60 B8     RTS                             A:05 X:FF Y:13 P:27 SP:F9 CYC:147
F774  AD 47 06  LDA $0647                       A:05 X:FF Y:13 P:27 SP:FB CYC:165
F777  C9 52     CMP #$52                        A:52 X:FF Y:13 P:25 SP:FB CYC:177
F779  F0 02     BEQ                             A:52 X:FF Y:13 P:27 SP:FB CYC:183
F77D  C8        INY                             A:52 X:FF Y:13 P:27 SP:FB CYC:192
F77E  A9 29     LDA #$29                        A:52 X:FF Y:14 P:25 SP:FB CYC:198
F780  8D 47 06  STA $0647 = 52                  A:29 X:FF Y:14 P:25 SP:FB CYC:204
F783  20 FA     JSR $FAFA                       A:29 X:FF Y:14 P:25 SP:FB CYC:216
FAFA  B8        CLV                             A:29 X:FF Y:14 P:25 SP:F9 CYC:234
FAFB  18        CLC                             A:29 X:FF Y:14 P:25 SP:F9 CYC:240
FAFC  A9 42     LDA #$42                        A:29 X:FF Y:14 P:24 SP:F9 CYC:246
FAFE  60 70     RTS                             A:42 X:FF Y:14 P:24 SP:F9 CYC:252
F786  7F 48 05 *RRA $0548,X                     A:42 X:FF Y:14 P:24 SP:FB CYC:270
F789  EA        NOP                             A:57 X:FF Y:14 P:24 SP:FB CYC:291
F78A  EA        NOP                             A:57 X:FF Y:14 P:24 SP:FB CYC:297
F78B  EA        NOP                             A:57 X:FF Y:14 P:24 SP:FB CYC:303
F78C  EA        NOP                             A:57 X:FF Y:14 P:24 SP:FB CYC:309
F78D  20 FF     JSR $FAFF                       A:57 X:FF Y:14 P:24 SP:FB CYC:315
FAFF  70 1A     BVS                             A:57 X:FF Y:14 P:24 SP:F9 CYC:333
FB01  30 18     BMI                             A:57 X:FF Y:14 P:24 SP:F9 CYC:339
FB03  B0 16     BCS                             A:57 X:FF Y:14 P:24 SP:F9 CYC:  4
FB05  C9 57     CMP #$57                        A:57 X:FF Y:14 P:24 SP:F9 CYC: 10
FB07  D0 12     BNE                             A:57 X:FF Y:14 P:27 SP:F9 CYC: 16
FB09  60 24     RTS                             A:57 X:FF Y:14 P:27 SP:F9 CYC: 22
F790  AD 47 06  LDA $0647                       A:57 X:FF Y:14 P:27 SP:FB CYC: 40
F793  C9 14     CMP #$14                        A:14 X:FF Y:14 P:25 SP:FB CYC: 52
F795  F0 02     BEQ                             A:14 X:FF Y:14 P:27 SP:FB CYC: 58
F799  C8        INY                             A:14 X:FF Y:14 P:27 SP:FB CYC: 67
F79A  A9 37     LDA #$37                        A:14 X:FF Y:15 P:25 SP:FB CYC: 73
F79C  8D 47 06  STA $0647 = 14                  A:37 X:FF Y:15 P:25 SP:FB CYC: 79
F79F  20 0A     JSR $FB0A                       A:37 X:FF Y:15 P:25 SP:FB CYC: 91
FB0A  24 01     BIT $01 = FF                    A:37 X:FF Y:15 P:25 SP:F9 CYC:109
FB0C  38        SEC                             A:37 X:FF Y:15 P:E5 SP:F9 CYC:118
FB0D  A9 75     LDA #$75                        A:37 X:FF Y:15 P:E5 SP:F9 CYC:124
FB0F  60 70     RTS                             A:75 X:FF Y:15 P:65 SP:F9 CYC:130
F7A2  7F 48 05 *RRA $0548,X                     A:75 X:FF Y:15 P:65 SP:FB CYC:148
F7A5  EA        NOP                             A:11 X:FF Y:15 P:25 SP:FB CYC:169
F7A6  EA        NOP                             A:11 X:FF Y:15 P:25 SP:FB CYC:175
F7A7  EA        NOP                             A:11 X:FF Y:15 P:25 SP:FB CYC:181
F7A8  EA        NOP                             A:11 X:FF Y:15 P:25 SP:FB CYC:187
F7A9  20 10     JSR $FB10                       A:11 X:FF Y:15 P:25 SP:FB CYC:193
FB10  70 09     BVS                             A:11 X:FF Y:15 P:25 SP:F9 CYC:211
FB12  30 07     BMI                             A:11 X:FF Y:15 P:25 SP:F9 CYC:217
FB14  90 05     BCC                             A:11 X:FF Y:15 P:25 SP:F9 CYC:223
FB16  C9 11     CMP #$11                        A:11 X:FF Y:15 P:25 SP:F9 CYC:229
FB18  D0 01     BNE                             A:11 X:FF Y:15 P:27 SP:F9 CYC:235
FB1A  60 85     RTS                             A:11 X:FF Y:15 P:27 SP:F9 CYC:241
F7AC  AD 47 06  LDA $0647                       A:11 X:FF Y:15 P:27 SP:FB CYC:259
F7AF  C9 9B     CMP #$9B                        A:9B X:FF Y:15 P:A5 SP:FB CYC:271
F7B1  F0 02     BEQ                             A:9B X:FF Y:15 P:27 SP:FB CYC:277
F7B5  60 18     RTS                             A:9B X:FF Y:15 P:27 SP:FB CYC:286
C655  A5 00     LDA $00                         A:9B X:FF Y:15 P:27 SP:FD CYC:304
C657  05 10     ORA $10                         A:00 X:FF Y:15 P:27 SP:FD CYC:313
C659  05 11     ORA $11                         A:00 X:FF Y:15 P:27 SP:FD CYC:322
C65B  F0 0E     BEQ                             A:00 X:FF Y:15 P:27 SP:FD CYC:331
C66B  20 89     JSR $C689                       A:00 X:FF Y:15 P:27 SP:FD CYC:340
C689  A9 02     LDA #$02                        A:00 X:FF Y:15 P:27 SP:FB CYC: 17
